rate_date,from_currency,to_currency,rate
2026-06-15,EUR,USD,1.09
2026-08-15,EUR,USD,1.09
2026-10-15,EUR,USD,1.09
2026-04-15,EUR,ZAR,20
2026-11-15,USD,EUR,0.92
2026-08-15,EUR,ZAR,20
2026-07-15,EUR,ZAR,20
2026-10-15,USD,IDR,15833.33
2026-04-15,USD,EUR,0.92
2026-10-15,EUR,ZAR,20
2026-09-15,EUR,USD,1.09
2026-06-15,USD,IDR,15833.33
2026-10-15,USD,INR,83.33
2026-05-15,USD,IDR,15833.33
2026-11-15,USD,IDR,15833.33
2026-09-15,EUR,ZAR,20
2026-07-15,USD,EUR,0.92
2026-07-15,USD,INR,83.33
2026-11-15,EUR,USD,1.09
2026-06-15,EUR,ZAR,20
2026-05-15,EUR,ZAR,20
2026-09-15,USD,INR,83.33
2026-07-15,EUR,USD,1.09
2026-08-15,USD,EUR,0.92
2026-08-15,USD,INR,83.33
2026-11-15,EUR,ZAR,20
2026-04-15,EUR,USD,1.09
2026-05-15,EUR,USD,1.09
2026-05-15,USD,EUR,0.92
2026-09-15,USD,EUR,0.92
2026-04-15,USD,IDR,15833.33
2026-06-15,USD,INR,83.33
2026-08-15,USD,IDR,15833.33
2026-09-15,USD,IDR,15833.33
2026-06-15,USD,EUR,0.92
2026-04-15,USD,INR,83.33
2026-11-15,USD,INR,83.33
2026-10-15,USD,EUR,0.92
2026-07-15,USD,IDR,15833.33
2026-05-15,USD,INR,83.33
