event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount
event_01,user_01,expense,Monthly rent,rent,debit,5148,ZAR,2023-10-01,2023-10-01,settled,,fixed,
event_02,user_01,expense,Utility bill,utilities,debit,1221.87,ZAR,2023-10-05,2023-10-05,settled,,fixed,
event_03,user_01,debt_payment,Loan repayment,debt_repayment,debit,3289,ZAR,2023-10-10,2023-10-10,settled,,fixed,
event_04,user_01,subscription,Streaming subscription,streaming,debit,651.2,ZAR,2023-10-08,2023-10-08,settled,,reducible,325.6
event_05,user_01,subscription,Fitness membership,gym,debit,459.8,ZAR,2023-10-09,2023-10-09,settled,,fixed,
event_06,user_01,subscription,Music subscription,music_subscription,debit,282.7,ZAR,2023-10-10,2023-10-10,settled,,fixed,
event_07,user_01,subscription,Cloud storage subscription,cloud_storage,debit,141.9,ZAR,2023-10-11,2023-10-11,settled,,fixed,
event_08,user_01,subscription,Delivery membership,delivery_membership,debit,254.1,ZAR,2023-10-12,2023-10-12,settled,,fixed,
event_09,user_01,expense,Discretionary shopping budget,shopping,debit,1159.4,ZAR,2023-10-11,2023-10-11,settled,,fixed,
event_10,user_01,expense,Entertainment budget,entertainment,debit,567.6,ZAR,2023-10-13,2023-10-13,settled,,fixed,
event_11,user_01,expense,Monthly rent,rent,debit,5148,ZAR,2023-11-01,2023-11-01,settled,,fixed,
event_12,user_01,expense,Utility bill,utilities,debit,1162.5,ZAR,2023-11-05,2023-11-05,settled,,fixed,
event_13,user_01,debt_payment,Loan repayment,debt_repayment,debit,3289,ZAR,2023-11-10,2023-11-10,settled,,fixed,
event_14,user_01,subscription,Streaming subscription,streaming,debit,651.2,ZAR,2023-11-08,2023-11-08,settled,,reducible,325.6
event_15,user_01,subscription,Fitness membership,gym,debit,459.8,ZAR,2023-11-09,2023-11-09,settled,,fixed,
event_16,user_01,subscription,Music subscription,music_subscription,debit,282.7,ZAR,2023-11-10,2023-11-10,settled,,fixed,
event_17,user_01,subscription,Cloud storage subscription,cloud_storage,debit,141.9,ZAR,2023-11-11,2023-11-11,settled,,fixed,
event_18,user_01,subscription,Delivery membership,delivery_membership,debit,254.1,ZAR,2023-11-12,2023-11-12,settled,,fixed,
event_19,user_01,expense,Discretionary shopping budget,shopping,debit,1159.4,ZAR,2023-11-11,2023-11-11,settled,,fixed,
event_20,user_01,expense,Entertainment budget,entertainment,debit,567.6,ZAR,2023-11-13,2023-11-13,settled,,fixed,
event_21,user_01,expense,Monthly rent,rent,debit,5148,ZAR,2023-12-01,2023-12-01,settled,,fixed,
event_22,user_01,expense,Utility bill,utilities,debit,1126.96,ZAR,2023-12-05,2023-12-05,settled,,fixed,
event_23,user_01,debt_payment,Loan repayment,debt_repayment,debit,3289,ZAR,2023-12-10,2023-12-10,settled,,fixed,
event_24,user_01,subscription,Streaming subscription,streaming,debit,651.2,ZAR,2023-12-08,2023-12-08,settled,,reducible,325.6
event_25,user_01,subscription,Fitness membership,gym,debit,459.8,ZAR,2023-12-09,2023-12-09,settled,,fixed,
