payment_option_id,request_id,payment_method,payment_amount,number_of_payments,first_payment_date,payment_frequency_days,financing_fee,total_payable_amount
payment_option_01,request_01,full_payment,23408,1,2024-03-03,,0,23408
payment_option_02,request_01,installments,1716.59,15,2024-03-06,30,2340.85,25748.85
payment_option_03,request_01,installments,4213.44,6,2024-03-10,31,1872.64,25280.64
payment_option_04,request_01,installments,1189.91,24,2024-03-17,28,5149.84,28557.84
payment_option_05,request_02,installments,19264.96,3,2025-08-08,30,2222.88,57794.88
payment_option_06,request_02,full_payment,55572,1,2025-08-05,,0,55572
payment_option_07,request_02,installments,3519.56,18,2025-08-12,31,7780.08,63352.08
payment_option_08,request_03,full_payment,12331000,1,2026-04-07,,0,12331000
payment_option_09,request_03,installments,692884.76,21,2026-04-21,28,2219579.96,14550579.96
payment_option_10,request_03,installments,626825.83,24,2026-04-10,31,2712819.92,15043819.92
payment_option_11,request_04,full_payment,79794,1,2024-06-04,,0,79794
payment_option_12,request_04,installments,5851.56,15,2024-06-04,30,7979.4,87773.4
payment_option_13,request_05,full_payment,222600,1,2025-11-06,,0,222600
payment_option_14,request_05,installments,14098,18,2025-11-09,31,31164,253764
payment_option_15,request_05,installments,11315.5,24,2025-11-20,30,48972,271572
payment_option_16,request_06,full_payment,67900,1,2026-01-03,,0,67900
payment_option_17,request_06,installments,3815.33,21,2026-01-10,28,12221.93,80121.93
payment_option_18,request_06,installments,12222,6,2026-01-17,30,5432,73332
payment_option_19,request_07,installments,75157.33,3,2024-09-12,28,8671.99,225471.99
payment_option_20,request_07,full_payment,216800,1,2024-09-05,,0,216800
payment_option_21,request_07,installments,15898.67,15,2024-09-19,30,21680.05,238480.05
payment_option_22,request_08,full_payment,1240.8,1,2025-02-07,,0,1240.8
payment_option_23,request_08,installments,78.58,18,2025-02-07,31,173.64,1414.44
payment_option_24,request_09,full_payment,2850.1,1,2026-07-04,,0,2850.1
payment_option_25,request_09,installments,160.15,21,2026-07-07,28,513.05,3363.15
payment_option_26,request_09,installments,144.88,24,2026-07-18,31,627.02,3477.12
